list_issues,list_artid,img_url
ddd:010873134:mpeg21,ddd:010873134:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010873134:mpeg21:p003:image&x=1967&y=3856&w=902&h=138
ddd:010585905:mpeg21,ddd:010585905:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585905:mpeg21:p003:image&x=106&y=1140&w=833&h=528
ddd:010996178:mpeg21,ddd:010996178:mpeg21:a0034,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996178:mpeg21:p004:image&x=3156&y=5708&w=1024&h=147
ddd:010495815:mpeg21,ddd:010495815:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495815:mpeg21:p001:image&x=104&y=3123&w=1006&h=74
ddd:010097940:mpeg21,ddd:010097940:mpeg21:a0035,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097940:mpeg21:p003:image&x=133&y=6335&w=931&h=110
ddd:010262944:mpeg21,ddd:010262944:mpeg21:a0055,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262944:mpeg21:p004:image&x=1533&y=1121&w=729&h=574
MMHCO01:000168845:mpeg21,MMHCO01:000168845:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000168845:mpeg21:p003:image&x=2071&y=3831&w=1031&h=1112
MMKB08:000089143:mpeg21,MMKB08:000089143:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089143:mpeg21:p004:image&x=192&y=4042&w=894&h=1340
MMCODA02:000184130:mpeg21,MMCODA02:000184130:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMCODA02:000184130:mpeg21:p004:image&x=1054&y=1946&w=926&h=280
KBDDD02:000213488:mpeg21,KBDDD02:000213488:mpeg21:a0005,http://imageviewer.kb.nl/ImagingService/imagingService?id=KBDDD02:000213488:mpeg21:p004:image&x=684&y=3262&w=772&h=1809
MMGAVL01:000005003:mpeg21,MMGAVL01:000005003:mpeg21:a0009,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMGAVL01:000005003:mpeg21:p003:image&x=842&y=4803&w=815&h=345
MMDA03:000093932:mpeg21,MMDA03:000093932:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093932:mpeg21:p003:image&x=2113&y=2604&w=1006&h=2553
MMSAVL02:000422015:mpeg21:p,MMSAVL02:000422015:mpeg21:a00013,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMSAVL02:000422015:mpeg21:p00002:image&x=432&y=3651&w=1006&h=1382
ddd:010996179:mpeg21,ddd:010996179:mpeg21:a0020,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996179:mpeg21:p002:image&x=3133&y=66&w=915&h=1957
ddd:010495838:mpeg21,ddd:010495838:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495838:mpeg21:p001:image&x=92&y=2988&w=775&h=51
ddd:010097941:mpeg21,ddd:010097941:mpeg21:a0049,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097941:mpeg21:p004:image&x=113&y=5630&w=938&h=391
ddd:011101419:mpeg21,ddd:011101419:mpeg21:a0014,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011101419:mpeg21:p008:image&x=2820&y=4651&w=880&h=48
ddd:011194084:mpeg21,ddd:011194084:mpeg21:a0012,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011194084:mpeg21:p004:image&x=2382&y=104&w=921&h=2106
ddd:110532977:mpeg21,ddd:110532977:mpeg21:a0126,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:110532977:mpeg21:p010:image&x=3183&y=3540&w=1009&h=294
MMKB08:000114970:mpeg21,MMKB08:000114970:mpeg21:a0011,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000114970:mpeg21:p004:image&x=1122&y=143&w=1017&h=1960
MMWFA01:000190003:mpeg21:p,MMWFA01:000190003:mpeg21:a00031,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMWFA01:000190003:mpeg21:p00006:image&x=2501&y=4935&w=891&h=83
ddd:010585906:mpeg21,ddd:010585906:mpeg21:a0005,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585906:mpeg21:p003:image&x=943&y=125&w=852&h=318
ddd:010509244:mpeg21,ddd:010509244:mpeg21:a0018,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010509244:mpeg21:p004:image&x=904&y=2941&w=824&h=1495
ddd:010097942:mpeg21,ddd:010097942:mpeg21:a0031,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097942:mpeg21:p003:image&x=2256&y=5662&w=514&h=73
ddd:011211101:mpeg21,ddd:011211101:mpeg21:a0021,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011211101:mpeg21:p004:image&x=2624&y=1428&w=904&h=3378
ddd:010156426:mpeg21,ddd:010156426:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010156426:mpeg21:p003:image&x=1980&y=1131&w=435&h=49
ddd:010262945:mpeg21,ddd:010262945:mpeg21:a0048,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262945:mpeg21:p003:image&x=1655&y=472&w=500&h=66
MMGASL01:000360027:mpeg21:p,MMGASL01:000360027:mpeg21:a00021,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMGASL01:000360027:mpeg21:p00004:image&x=2185&y=5245&w=890&h=121
MMHCO01:000065490:mpeg21,MMHCO01:000065490:mpeg21:a0011,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065490:mpeg21:p004:image&x=138&y=3414&w=1031&h=159
MMKB08:000089145:mpeg21,MMKB08:000089145:mpeg21:a0009,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089145:mpeg21:p003:image&x=2718&y=85&w=935&h=750
MMDA03:000093933:mpeg21,MMDA03:000093933:mpeg21:a0015,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093933:mpeg21:p004:image&x=140&y=177&w=1017&h=774
ddd:010507596:mpeg21,ddd:010507596:mpeg21:a0008,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010507596:mpeg21:p002:image&x=1930&y=2786&w=899&h=1700
ddd:010996180:mpeg21,ddd:010996180:mpeg21:a0028,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996180:mpeg21:p004:image&x=3133&y=5720&w=1012&h=161
ddd:010495892:mpeg21,ddd:010495892:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495892:mpeg21:p001:image&x=2145&y=4337&w=971&h=1631
ddd:010097943:mpeg21,ddd:010097943:mpeg21:a0031,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097943:mpeg21:p003:image&x=3026&y=6425&w=1839&h=346
ddd:110532978:mpeg21,ddd:110532978:mpeg21:a0016,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:110532978:mpeg21:p004:image&x=3180&y=6064&w=986&h=273
ddd:010262946:mpeg21,ddd:010262946:mpeg21:a0049,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262946:mpeg21:p004:image&x=898&y=5006&w=495&h=76
MMHCO01:000065492:mpeg21,MMHCO01:000065492:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065492:mpeg21:p003:image&x=1076&y=2630&w=950&h=1407
MMKB08:000089147:mpeg21,MMKB08:000089147:mpeg21:a0016,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089147:mpeg21:p004:image&x=1933&y=115&w=856&h=1374
MMSADB01:000007351:mpeg21,MMSADB01:000007351:mpeg21:a0020,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMSADB01:000007351:mpeg21:p004:image&x=1957&y=254&w=854&h=3082
MMDA03:000093934:mpeg21,MMDA03:000093934:mpeg21:a0018,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093934:mpeg21:p004:image&x=132&y=4797&w=994&h=368
ddd:010585907:mpeg21,ddd:010585907:mpeg21:a0005,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010585907:mpeg21:p002:image&x=1897&y=4701&w=860&h=798
ddd:010996181:mpeg21,ddd:010996181:mpeg21:a0015,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996181:mpeg21:p002:image&x=3124&y=5724&w=1020&h=149
ddd:010495893:mpeg21,ddd:010495893:mpeg21:a0002,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495893:mpeg21:p001:image&x=345&y=2157&w=528&h=110
ddd:010097944:mpeg21,ddd:010097944:mpeg21:a0030,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097944:mpeg21:p003:image&x=2073&y=556&w=944&h=88
ddd:011194085:mpeg21,ddd:011194085:mpeg21:a0006,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011194085:mpeg21:p003:image&x=2402&y=2346&w=894&h=356
ddd:010262947:mpeg21,ddd:010262947:mpeg21:a0043,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262947:mpeg21:p004:image&x=151&y=4654&w=500&h=73
MMHCO01:000065494:mpeg21,MMHCO01:000065494:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065494:mpeg21:p003:image&x=2080&y=4636&w=1092&h=305
MMKB08:000089148:mpeg21,MMKB08:000089148:mpeg21:a0022,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089148:mpeg21:p004:image&x=2781&y=69&w=847&h=394
MMKB08:000114971:mpeg21,MMKB08:000114971:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000114971:mpeg21:p004:image&x=1150&y=125&w=998&h=2633
MMWFA01:000190004:mpeg21:p,MMWFA01:000190004:mpeg21:a00015,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMWFA01:000190004:mpeg21:p00004:image&x=1494&y=3403&w=1851&h=1659
MMDA03:000093935:mpeg21,MMDA03:000093935:mpeg21:a0019,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093935:mpeg21:p004:image&x=2139&y=1978&w=944&h=806
ddd:010507597:mpeg21,ddd:010507597:mpeg21:a0009,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010507597:mpeg21:p002:image&x=997&y=1889&w=898&h=1707
ddd:010996182:mpeg21,ddd:010996182:mpeg21:a0037,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010996182:mpeg21:p004:image&x=3123&y=5741&w=989&h=161
ddd:010509245:mpeg21,ddd:010509245:mpeg21:a0015,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010509245:mpeg21:p003:image&x=2583&y=2897&w=814&h=1594
ddd:010495900:mpeg21,ddd:010495900:mpeg21:a0009,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495900:mpeg21:p002:image&x=103&y=122&w=1993&h=272
ddd:010097945:mpeg21,ddd:010097945:mpeg21:a0029,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097945:mpeg21:p003:image&x=2229&y=1209&w=485&h=47
ddd:011101420:mpeg21,ddd:011101420:mpeg21:a0001,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011101420:mpeg21:p001:image&x=81&y=1228&w=891&h=110
ddd:110532979:mpeg21,ddd:110532979:mpeg21:a0049,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:110532979:mpeg21:p006:image&x=3177&y=5976&w=1033&h=224
ddd:010262948:mpeg21,ddd:010262948:mpeg21:a0042,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262948:mpeg21:p004:image&x=1662&y=3644&w=500&h=77
MMHCO01:000065495:mpeg21,MMHCO01:000065495:mpeg21:a0008,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065495:mpeg21:p003:image&x=2037&y=2029&w=981&h=2942
MMKB08:000089149:mpeg21,MMKB08:000089149:mpeg21:a0016,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMKB08:000089149:mpeg21:p004:image&x=1958&y=4337&w=877&h=1103
MMVEEN01:000077915:mpeg21,MMVEEN01:000077915:mpeg21:a0028,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMVEEN01:000077915:mpeg21:p006:image&x=225&y=361&w=1153&h=503
MMDA03:000093936:mpeg21,MMDA03:000093936:mpeg21:a0016,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMDA03:000093936:mpeg21:p004:image&x=2116&y=1351&w=981&h=660
ddd:010495901:mpeg21,ddd:010495901:mpeg21:a0010,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010495901:mpeg21:p002:image&x=125&y=149&w=1959&h=429
ddd:010097946:mpeg21,ddd:010097946:mpeg21:a0026,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010097946:mpeg21:p003:image&x=3185&y=1419&w=517&h=78
ddd:011211102:mpeg21,ddd:011211102:mpeg21:a0019,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011211102:mpeg21:p004:image&x=2616&y=3135&w=820&h=1787
ddd:011194086:mpeg21,ddd:011194086:mpeg21:a0008,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:011194086:mpeg21:p004:image&x=66&y=365&w=932&h=4087
ddd:010156427:mpeg21,ddd:010156427:mpeg21:a0007,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010156427:mpeg21:p004:image&x=48&y=2223&w=860&h=1865
ddd:010262949:mpeg21,ddd:010262949:mpeg21:a0042,http://imageviewer.kb.nl/ImagingService/imagingService?id=ddd:010262949:mpeg21:p004:image&x=911&y=3457&w=497&h=76
MMHCO01:000065496:mpeg21,MMHCO01:000065496:mpeg21:a0032,http://imageviewer.kb.nl/ImagingService/imagingService?id=MMHCO01:000065496:mpeg21:p004:image&x=2239&y=984&w=986&h=398
