res,occ
no wage indication,notaris
qualitative,meid
no wage indication,meter
qualitative,dienstbode
ƒlo,knecht
ƒloo,dienstbode
16593,jongen
16593,jongen
16593,dienstbode
24,bakker
24,werkmeid
no wage indication,waarde
ƒ,slijterij
ƒ,dienstmeisje
10,knecht
no wage indication,volontair
no wage indication,indienst
no wage indication,werkmeid
no wage indication,werkmeid
qualitative,machinist
qualitative,vuurwerker
no wage indication,dienst
no wage indication,dienst
no wage indication,waarde
no wage indication,kamenier
no wage indication,boekhandelaar
90,agent
90,agent
90,dienstbode
150,boekhandelaar
150,schoonmaakster
100,dienstbode
no wage indication,loopjongen
120,makelaar
120,dienst
no wage indication,bediende
qualitative,dienst
no wage indication,keukenmeid
qualitative,administratie
qualitative,coiffeursbediende
100,keukenmeid
qualitative,bidder
qualitative,werkster
qualitative,koster
qualitative,makelaars
qualitative,meter
qualitative,dienst
21775,burgemeester
21775,burgemeester
qualitative,eigenaar
qualitative,juffrouw
qualitative,eigenaar
qualitative,juffrouw
qualitative,uitgever
qualitative,dienst
qualitative,bediende
qualitative,dienstbode
qualitative,dionst
ƒ9o,dienstbode
qualitative,dienstbode
7,knecht
100,dienstbode
100,meid
100,boekhandelaar
no wage indication,gemeente
ƒb,behanger
qualitative,koekbakker
qualitative,diende
150,keukenmeid
150,keukenmeid
150,huiswerk
ƒ,boekhandelaar
90,dienstbode
90,schoonmaakster
qualitative,uitgevers
qualitative,ridder
no wage indication,keukenmeid
no wage indication,visser
no wage indication,dienstbode
qualitative,boekhandelaar
qualitative,kinderjuffrouw
qualitative,huiswerk
qualitative,boekhandelaar
80,dienstmeisje
23861,gezel
qualitative,bediende
no wage indication,meesterknecht
qualitative,leiden
qualitative,kinderjuffrouw
qualitative,huiswerk
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,werksters
qualitative,kantoorbediende
qualitative,werkster
qualitative,dienstbode
90,werkmeid
qualitative,leiden
qualitative,huiswerk
no wage indication,boekhandelaar
90,werkmeid
no wage indication,model
no wage indication,huisknecht
100,leeraar
100,boekhouder
100,dienstbode
qualitative,reiziger
qualitative,werksters
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
qualitative,werker
100,dienstbode
100,schoonmaakster
no wage indication,naaister
no wage indication,dienst
25400,administratie
25400,administratie
25401,commissaris
qualitative,keukenmeid
no wage indication,curator
vijl,oppasser
qualitative,arts
qualitative,keukenmeid
no wage indication,curator
no wage indication,heer
no wage indication,rechtercommissaris
no wage indication,heer
no wage indication,knecht
no wage indication,jongen
no wage indication,laarzenmaker
no wage indication,knecht
100,huiswerk
qualitative,pianostemmer
qualitative,keukenmeid
100,huiswerk
qualitative,slijterij
qualitative,meters
qualitative,boekhandelaar
qualitative,keukenmeid
100,dienstbode
100,huiswerk
no wage indication,pakhuisknecht
reflcteerenden,werkmeid
ƒloo,huiswerk
no wage indication,keukenmeid
27042,commissaris
100,administrateur
100,meid
100,huiswerk
ƒl5o,huishoudster
ƒl5o,fabrikanten
80,meid
no wage indication,administratie
no wage indication,commissaris
no wage indication,uitgevers
no wage indication,werkmeid
qualitative,juffrouw
qualitative,juffrouw
qualitative,zinkwerker
hoeft,metselaar
qualitative,keukenmeid
qualitative,huiswerk
qualitative,boekhouder
qualitative,boekhouden
qualitative,juffrouw
qualitative,juffrouw
29080,administratie
29080,commissaris
qualitative,reiziger
qualitative,kindermeid
90,dienstbode
qualitative,makelaar
qualitative,makelaar
qualitative,kindermeid
tien,winkelbediende
no wage indication,heer
no wage indication,heer
no wage indication,heer
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,boekhandelaar
no wage indication,makelaars
125,dienst
125,keukenmeid
no wage indication,loodgieter
no wage indication,wekker
qualitative,barbiersbediende
no wage indication,voorzitter
no wage indication,griffier
no wage indication,betaalmeester
no wage indication,voorzitter
no wage indication,secretaris
qualitative,loopjongen
no wage indication,gedeputeerdo
no wage indication,voorzitter
no wage indication,voorzitter
qualitative,makelaar
no wage indication,voorzitter
no wage indication,griffier
no wage indication,betaalmeester
no wage indication,voorzitter
no wage indication,secretaris
qualitative,dienstbode
no wage indication,heer
no wage indication,noodhulp
no wage indication,dienst
qualitative,makelaar
100,dienstbode
100,huiswerk
100,meid
25401,administratie
no wage indication,meid
5,oppasser
tien,winkelbediende
80,dienstbode
no wage indication,voorzitter
no wage indication,griffier
no wage indication,betaalmeester
no wage indication,voorzitter
no wage indication,secretaris
qualitative,makelaar
90,meid
ƒll,juffrouw
1,werkster
no wage indication,bouwkundige
qualitative,linnennaaister
25401,administratie
qualitative,diamantklover
qualitative,knecht
100,dienstbode
100,huiswerk
ƒloo,naaister
ƒloo,coupeur
ƒloo,keukenmeid
ƒloo,huiswerk
qualitative,barbiersbediende
qualitative,coiffeur
qualitative,barbiersbediende
no wage indication,werkmeid
no wage indication,jongens
no wage indication,compagnon
no wage indication,waarde
no wage indication,bediende
3,boekhouden
no wage indication,leeraar
100,noodhulp
100,dienstbode
ƒ,schoonmaakster
qualitative,steller
no wage indication,juwelier
no wage indication,juwelier
qualitative,zolder
qualitative,zinkwerkers
qualitative,zinkwerkers
ƒbo,dienstbode
no wage indication,boekhandelaar
no wage indication,juffrouw
no wage indication,boekhandelaar
no wage indication,heer
no wage indication,handelaar
no wage indication,diamantzetter
no wage indication,diamantzetter
no wage indication,monteur
no wage indication,compagnon
35444,dienst
35444,min
100,werksters
80,werkmeid
no wage indication,koetsier
no wage indication,dienstbode
18,koetsier
18,knecht
qualitative,fabrikant
85,gouvernante
85,dienstbode
tien,bierhuis
tien,koetsier
qualitative,curator
qualitative,curator
qualitative,keukenmeid
qualitative,dienst
qualitative,keukenmeid
120,keukenmeid
qualitative,boekhandelaar
qualitative,boekhandelaar
qualitative,boekhandelaar
no wage indication,dienstbode
no wage indication,huiswerk
no wage indication,potter
150,operateur
120,coupeuse
120,werkmeid
no wage indication,dienstbode
no wage indication,fabrikant
no wage indication,arrondissementsbetaalmeester
no wage indication,voorzitter
no wage indication,griffier
1,keukenmeid
no wage indication,potter
100,dienstbode
ƒl3o,keukenmeid
ƒl3o,huiswerk
ƒl3o,keukenmeid
ƒl3o,huiswerk
no wage indication,heer
no wage indication,keukenmeid
8,nachtportier
8,nachtwacht
no wage indication,arrondissementsbetaalmeester
no wage indication,voorzitter
no wage indication,griffier
no wage indication,makelaars
no wage indication,makelaars
no wage indication,makelaars
no wage indication,makelaars
tarief,steller
ƒloo,dienstbode
ƒloo,werkster
qualitative,dienst
qualitative,keukenmeid
qualitative,huiswerk
qualitative,boekhandelaar
125,huiswerk
125,huiswerk
125,huiswerk
125,keukenmeid
qualitative,huisknecht
qualitative,huisknecht
qualitative,oppasser
100,boekhandelaar
100,keukenmeid
100,werkmeid
100,keukenmeid
100,werkmeid
qualitative,meid
qualitative,getuigeu
ƒbo,boekhandelaar
ƒbo,maagd
ƒbo,keukenmeid
ƒbo,huiswerk
no wage indication,meid
ƒ,boekhandelaar
no wage indication,huisknecht
120,secretaris
120,keukenmeid
no wage indication,meid
no wage indication,huiswerk
qualitative,fabrikant
no wage indication,reiziger
no wage indication,bediende
no wage indication,hoofd
no wage indication,stukadoors
no wage indication,heelmeester
no wage indication,schoonmaakster
qualitative,leiden
qualitative,fabrikant
100,dienstbode
qualitative,meid
40849,burgemeester
40849,burgemeester
no wage indication,rediende
qualitative,boekhandelaar
qualitative,deventer
qualitative,keukenmeid
no wage indication,slepen
100,dienst
100,keukenmeid
qualitative,keukenmeid
qualitative,zinkwerkers
qualitative,expert
qualitative,cargadoors
qualitative,behanger
qualitative,kamer
qualitative,dienst
no wage indication,werkmeid
qualitative,winkelbediende
qualitative,barbiersbediende
qualitative,fabrikant
no wage indication,deurwaarder
no wage indication,procureur
no wage indication,procureur
no wage indication,deurwaarder
no wage indication,deurwaarder
no wage indication,deurwaarder
no wage indication,deurwaarder
no wage indication,procureur
qualitative,boekhandelaar
qualitative,baas
qualitative,boekhandelaar
qualitative,kunsthandelaar
qualitative,boekhandelaar
160,keukenmeid
no wage indication,bediende
qualitative,deventer
no wage indication,administratie
qualitative,maar
qualitative,kruideniers
no wage indication,boekhandelaar
no wage indication,administrateur
no wage indication,houtvester
no wage indication,opzichter
90,dienstbode
qualitative,boekhouder
qualitative,boekhouder
no wage indication,dienstbode
no wage indication,boekhandelaar
ƒbo,bleeker
no wage indication,boekhandelaar
no wage indication,makelaar
100,slijterij
100,slijterij
48585,president
48585,secretaris
qualitative,zinkwerkers
no wage indication,rechter
qualitative,dienstbode
ƒ9o,keukenmeid
ƒ9o,huiswerk
ƒ2oo,kindermeisje
ƒ2oo,meid
ƒ2oo,huiswerk
no wage indication,hoofd
ƒ2oo,keukenmeid
ƒ2oo,huiswerk
no wage indication,hoofd
no wage indication,hoofd
563,brouwer
100,secretaris
100,dienstbode
tien,dienst
tien,huiswerk
